state,x,y
Ladakh,-70.0,193.0
Jammu And Kashmir,-110.0,188.0
Himachal Pradesh,-74.0,156.0
Punjab,-101.0,143.0
Haryana,-91.0,116.0
Chandigarh,-83.0,135.0
Delhi,-76.0,109.0
Uttarakhand,-50.0,134.0
Uttar Pradesh,-54.0,99.0
Rajasthan,-125.0,85.0
Bihar,42.0,63.0
Madhya Pradesh,-68.0,27.0
Jharkhand,30.0,31.0
West Bengal,71.0,27.0
Sikkim,78.0,95.0
Arunachal Pradesh,176.0,113.0
Assam,118.0,79.0
Meghalaya,106.0,63.0
Nagaland,160.0,77.0
Manipur,152.0,52.0
Mizoram,138.0,35.0
Tripura,124.0,39.0
Gujarat,-157.0,20.0
Chhattisgarh,-16.0,-3.0
Odisha,25.0,-11.0
Maharashtra,-121.0,-34.0
Goa,-120.0,-88.0
Telangana,-57.0,-46.0
Andhra Pradesh,-53.0,-96.0
Karnataka,-105.0,-98.0
Kerala,-91.0,-156.0
Tamil Nadu,-53.0,-149.0
Daman And Diu,-137.0,-12.0
Puducherry,-43.0,-139.0
Lakshadweep,-139.0,-164.0
Andaman And Nicobar Islands,145.0,-124.0
